code,country,pub_year,dependent_variable,ndg_time_range,ndg_mean,ndg_mean_raw,gdp_time_range,gdp_mean,gdp_mean_raw,gcri_time_range,gcri_mean,gcri_mean_raw
CRI,Costa Rica,2016,green,2006-2015,-0.517962207,0.444499296,2006-2015,0.018848315,8626.287638,1996-2015,-0.153527111,78
CIV,Côte d'Ivoire,2021,yellow,2011-2020,0.676360428,0.647031324,2011-2020,-0.415422295,1901.507603,2001-2020,0.429145998,141.33
CZE,Czechia,2014,yellow,2004-2013,-1.754466331,0.234814175,2004-2013,0.650095679,18401.2979,1994-2013,-0.240932678,68.5
COD,Democratic Republic of Congo,2019,yellow,2009-2018,1.729850398,0.82568109,2009-2018,-0.511582986,412.4372408,1999-2018,0.286536916,125.83
DMA,Dominica,2010,yellow,2000-2009,-0.495935413,0.448234578,2000-2009,-0.177036288,5592.969609,1990-2009,-0.325302051,59.33
DOM,Dominican Republic,2016,red,2006-2015,-0.53085299,0.442313291,2006-2015,-0.179578856,5553.597362,1996-2015,0.349468924,132.67
ERI,Eritrea,2017,green,2007-2016,1.30875328,0.754271866,2007-2016,-0.50151358,568.3642948,1997-2016,0.183858376,114.67
EST,Estonia,2009,yellow,1999-2008,-1.674562557,0.248364176,1999-2008,0.057100598,9218.633017,1990-2008,0.194531056,115.83
ETH,Ethiopia,2021,green,2011-2020,1.662409395,0.814244513,2011-2020,-0.497050142,637.4816684,2001-2020,-0.25933385,66.5
FJI,Fiji,2016,green,2006-2015,-0.689568475,0.415398479,2006-2015,-0.272316153,4117.539045,1996-2015,-0.435709083,47.33
FRA,France,2023,green,2013-2022,-1.623173224,0.257078727,2013-2022,2.070948317,40403.52702,1993-2022,-0.759477703,12.14
GAB,Gabon,2017,red,2007-2016,-0.355418367,0.472063317,2007-2016,0.010556373,8497.88502,1997-2016,0.671489433,167.67
GEO,Georgia,2014,red,2004-2013,-0.818201384,0.39358504,2004-2013,-0.342089963,3037.075595,1994-2013,0.010519337,95.83
GRD,Grenada,2016,green,2006-2015,-0.394550229,0.465427375,2006-2015,-0.069097153,7264.431895,1996-2015,-0.500113185,40.33
GIN,Guinea,2015,yellow,2005-2014,0.283276088,0.580372478,2005-2014,-0.496662065,643.4911239,1995-2014,0.607085331,160.67
GUY,Guyana,2013,green,2003-2012,-0.114380853,0.512938215,2003-2012,-0.324939872,3302.64869,1993-2014,0.001318751,94.83
HTI,Haiti,2021,yellow,2011-2020,0.970333942,0.696883056,2011-2020,-0.448744206,1385.51016,2001-2020,-0.745400807,13.67
IDN,Indonesia,2015,yellow,2005-2014,-0.475775342,0.451653302,2005-2014,-0.368714524,2624.78815,1995-2014,-0.219495313,70.83
IRQ,Iraq,2014,green,2004-2013,0.226246753,0.570701501,2004-2013,-0.279136584,4011.923105,1994-2013,0.4951142,148.5
IRL,Ireland,2013,yellow,2003-2012,-1.436588966,0.288719498,2003-2012,2.819088236,51988.64531,1993-2012,0.243662185,121.17
JAM,Jamaica,2019,yellow,2009-2018,-0.242066163,0.491285469,2009-2018,-0.210025365,5082.126185,1999-2018,-0.274698828,64.83
JOR,Jordan,2019,red,2009-2018,-0.91935027,0.376432314,2009-2018,-0.279818798,4001.358862,1999-2018,0.196095156,116
KAZ,Kazakhstan,2014,red,2004-2013,-1.409097485,0.293381475,2004-2013,-0.031809201,7841.844386,1994-2013,0.303465994,127.67
KEN,Kenya,2018,green,2008-2017,1.190345719,0.734192431,2008-2017,-0.45426234,1300.060597,1998-2017,-0.348303516,56.83
KIR,Kiribati,2016,yellow,2006-2015,0.239321399,0.572918686,2006-2015,-0.438196427,1548.844945,1996-2015,0.166929298,112.83
LAO,Laos,2013,yellow,2003-2012,0.40263598,0.600613408,2003-2012,-0.484107736,837.8977954,1993-2012,-0.181128869,75
LBN,Lebanon,2023,green,2013-2022,-0.491585611,0.448972213,2013-2022,-0.076534076,7149.269431,1993-2022,8.63303249,1033
LSO,Lesotho,2017,green,2007-2016,0.74097524,0.657988639,2007-2016,-0.469151892,1069.492459,1997-2016,0.226733107,119.33
